Fecha,Tiempo en min,Paginas,Genero,Titulo,Autor,Goodread,,
1/1/2022,130,72,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
2/1/2022,100,53,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
3/1/2022,50,24,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
4/1/2022,10,4,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
5/1/2022,24,9,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
6/1/2022,35,16,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
7/1/2022,30,12,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
8/1/2022,40,19,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
9/1/2022,36,15,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
10/1/2022,34,13,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
11/1/2022,38,16,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
12/1/2022,20,10,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
13/1/2022,40,19,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
14/1/2022,56,22,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
15/1/2022,100,47,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
16/1/2022,120,55,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
17/1/2022,30,14,Psicologia,Beyond order 12 more rules for life,Jordan B. Peterson,87249394,,
18/1/2022,46,22,Psicologia,The honest truth about dishonesty,Dan Ariely,18912407,,
19/1/2022,32,14,Psicologia,The honest truth about dishonesty,Dan Ariely,18912407,,
20/1/2022,34,16,Psicologia,The honest truth about dishonesty,Dan Ariely,18912407,,
21/1/2022,40,21,Psicologia,The honest truth about dishonesty,Dan Ariely,18912407,,
22/1/2022,140,72,Psicologia,The honest truth about dishonesty,Dan Ariely,18912407,,
23/1/2022,100,54,Psicologia,The honest truth about dishonesty,Dan Ariely,18912407,,
24/1/2022,10,4,Teologia,Confesiones,San Agustin,1427207,,
25/1/2022,32,14,Teologia,Confesiones,San Agustin,1427207,,
26/1/2022,40,21,Teologia,Confesiones,San Agustin,1427207,,
27/1/2022,36,14,Teologia,Confesiones,San Agustin,1427207,,
28/1/2022,12,6,Teologia,Confesiones,San Agustin,1427207,,
29/1/2022,32,13,Teologia,Confesiones,San Agustin,1427207,,
30/1/2022,38,16,Teologia,Confesiones,San Agustin,1427207,,
31/1/2022,15,7,Teologia,Confesiones,San Agustin,1427207,,
1/2/2022,26,12,Teologia,Confesiones,San Agustin,1427207,,
2/2/2022,38,16,Teologia,Confesiones,San Agustin,1427207,,
3/2/2022,15,7,Teologia,Confesiones,San Agustin,1427207,,
4/2/2022,0,0,,,,,,
5/2/2022,0,0,,,,,,
6/2/2022,0,0,,,,,,
7/2/2022,80,37,Psicologia,Crime and punishment,Dostoyevski,3393917,,
8/2/2022,130,59,Psicologia,Crime and punishment,Dostoyevski,3393917,,
9/2/2022,30,14,Psicologia,Crime and punishment,Dostoyevski,3393917,,
10/2/2022,100,46,Psicologia,Crime and punishment,Dostoyevski,3393917,,
11/2/2022,63,34,Psicologia,Crime and punishment,Dostoyevski,3393917,,
12/2/2022,74,36,Psicologia,Crime and punishment,Dostoyevski,3393917,,
13/2/2022,0,0,,,,,,
14/2/2022,29,12,Psicologia,Crime and punishment,Dostoyevski,3393917,,
15/2/2022,80,38,Psicologia,Crime and punishment,Dostoyevski,3393917,,
16/2/2022,120,57,Psicologia,Crime and punishment,Dostoyevski,3393917,,
17/2/2022,79,47,Psicologia,Crime and punishment,Dostoyevski,3393917,,
18/2/2022,12,5,Psicologia,Crime and punishment,Dostoyevski,3393917,,
19/2/2022,16,8,Psicologia,Crime and punishment,Dostoyevski,3393917,,
20/2/2022,140,74,Psicologia,Crime and punishment,Dostoyevski,3393917,,
21/2/2022,56,24,Psicologia,Crime and punishment,Dostoyevski,3393917,,
22/2/2022,60,27,Psicologia,Crime and punishment,Dostoyevski,3393917,,
